Sample Id,MecA_read_Counts,MecA_Coverage,Staph_read_Counts,Staph_Coverage,CC_8_8,CC_239_239,CC_1_1,CC_5_5,CC_8_8_2,CC_5_5_2,MLST_93,CC_5_5_3,CC_59_59,CC_30_36,CC_8_72,CC_8_8_3,CC_151_151,CC_8_254,CC_398_398,CC_30_30,CC_75_1850,CC_5_5_4,CC_133_133,CC_1021,CC_121,CC_123,CC_130,CC_15,CC_20,CC_2198,CC_22,CC_2361,CC_291,CC_425,CC_45,CC_49,CC_50,CC_522,CC_700,CC_779,CC_78,CC_80,CC_97,CC_9
SRR1748642,0,0,972,0.034171564,0.04109589,0.010273973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.948630137,0,0,0,0,0
SRR1748649,0,0,2763,0.097135836,0,0,0,0,0,0,0,0,0.983186534,0,0,0,0,0,0,0,0,0,0,0,0,0.007050213,0,0,0,0,0,0.009763254,0,0,0,0,0,0,0,0,0,0,0,0
SRR1748663,0,0,40755,1.432779947,0,0,0,0,0,0,0.004500018,0,0.019375766,0,0,0,0,0,0.014799805,0,0,0,0,0,0,0,0,0.46059988,0.495324359,0.001425928,0,0,0,0,0.003974243,0,0,0,0,0,0,0,0,0
SRR1748729,0,0,3503,0.123151225,0,0,0,0,0,0,0,0,0,0,0,0,0.684210526,0,0,0,0.315789474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1748746,0,0,3672,0.129092577,0,0,0,0,0,0,0,0,0,0,0,0.205314432,0,0,0,0.609475073,0,0,0,0,0.102013572,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083196923,0,0,0,0,0
SRR1748797,0,0,5965,0.209705125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23255814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76744186,0,0,0,0,0,0,0
SRR1748802,0,0,9041,0.317844767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035989717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.964010283,0,0,0,0,0,0,0
SRR1748803,0,0,1026,0.036069985,0,0,0,0.012763851,0,0,0.010691105,0,0.073149516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.903395528,0,0,0,0,0,0,0,0,0
SRR1748807,0,0,4690,0.164881314,0,0,0,0.215005599,0,0,0,0,0,0,0,0,0,0,0,0,0.139977604,0,0,0,0,0,0,0.430011198,0,0,0,0,0,0.215005599,0,0,0,0,0,0,0,0,0,0
SRR1748826,0,0,1400,0.049218303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.964285714,0,0,0,0,0
